area,area_title,occ_code,occ_title,tot_emp,loc_quotient,h_mean,a_mean
4,Arizona,23-0000,Legal Occupations,"20,320",0.93,46.45,"96,620"
5,Arkansas,23-0000,Legal Occupations,"6,470",0.69,35.71,"74,290"
6,California,23-0000,Legal Occupations,"1,35,520",1.02,62.77,"1,30,560"
8,Colorado,23-0000,Legal Occupations,"22,540",1.1,54.54,"1,13,440"
9,Connecticut,23-0000,Legal Occupations,"13,300",1.03,55.26,"1,14,940"
10,Delaware,23-0000,Legal Occupations,"4,760",1.36,58.72,"1,22,140"
11,District of Columbia,23-0000,Legal Occupations,"40,010",7.21,81.4,"1,69,310"
12,Florida,23-0000,Legal Occupations,"88,420",1.32,45.54,"94,720"
13,Georgia,23-0000,Legal Occupations,"33,410",0.98,48.8,"1,01,500"
15,Hawaii,23-0000,Legal Occupations,"3,920",0.78,42.84,"89,110"
16,Idaho,23-0000,Legal Occupations,"4,120",0.75,37.99,"79,020"
17,Illinois,23-0000,Legal Occupations,"49,630",1.06,58.1,"1,20,850"
18,Indiana,23-0000,Legal Occupations,"15,440",0.65,40.98,"85,250"
19,Iowa,23-0000,Legal Occupations,"7,870",0.66,36.56,"76,040"
20,Kansas,23-0000,Legal Occupations,"7,440",0.69,37.57,"78,140"
21,Kentucky,23-0000,Legal Occupations,"10,140",0.69,38.36,"79,780"
22,Louisiana,23-0000,Legal Occupations,"14,860",1,38.67,"80,430"
23,Maine,23-0000,Legal Occupations,"3,660",0.77,37.99,"79,030"
24,Maryland,23-0000,Legal Occupations,"25,320",1.21,45.4,"94,420"
25,Massachusetts,23-0000,Legal Occupations,"29,810",1.07,62.53,"1,30,060"
26,Michigan,23-0000,Legal Occupations,"25,880",0.77,41.58,"86,480"
27,Minnesota,23-0000,Legal Occupations,"19,870",0.89,45.8,"95,250"
28,Mississippi,23-0000,Legal Occupations,"5,720",0.65,35.75,"74,360"
29,Missouri,23-0000,Legal Occupations,"18,650",0.85,42.84,"89,110"
30,Montana,23-0000,Legal Occupations,"3,940",1.09,33.69,"70,070"
31,Nebraska,23-0000,Legal Occupations,"5,230",0.69,39.24,"81,610"
32,Nevada,23-0000,Legal Occupations,"8,680",0.83,51.13,"1,06,360"
33,New Hampshire,23-0000,Legal Occupations,"3,330",0.65,46.11,"95,900"
34,New Jersey,23-0000,Legal Occupations,"33,750",1.07,53.61,"1,11,510"
35,New Mexico,23-0000,Legal Occupations,"5,500",0.87,39.75,"82,680"
36,New York,23-0000,Legal Occupations,"1,14,010",1.56,65.45,"1,36,140"
37,North Carolina,23-0000,Legal Occupations,"24,550",0.72,43.58,"90,650"
38,North Dakota,23-0000,Legal Occupations,"2,640",0.81,37.36,"77,710"
39,Ohio,23-0000,Legal Occupations,"33,630",0.8,43.84,"91,180"
40,Oklahoma,23-0000,Legal Occupations,"12,580",1.01,41.86,"87,070"
41,Oregon,23-0000,Legal Occupations,"12,820",0.87,43.89,"91,290"
42,Pennsylvania,23-0000,Legal Occupations,"43,560",0.96,49.4,"1,02,750"
44,Rhode Island,23-0000,Legal Occupations,"3,630",0.97,43.78,"91,070"
45,South Carolina,23-0000,Legal Occupations,"13,800",0.86,35.13,"73,070"
46,South Dakota,23-0000,Legal Occupations,"1,720",0.52,39.05,"81,210"
47,Tennessee,23-0000,Legal Occupations,"14,620",0.63,44.05,"91,620"
48,Texas,23-0000,Legal Occupations,"80,670",0.85,52,"1,08,160"
49,Utah,23-0000,Legal Occupations,"9,800",0.86,39.39,"81,930"
50,Vermont,23-0000,Legal Occupations,"1,990",0.84,40.6,"84,450"
51,Virginia,23-0000,Legal Occupations,"35,600",1.19,49.91,"1,03,820"
53,Washington,23-0000,Legal Occupations,"21,540",0.85,49.43,"1,02,810"
54,West Virginia,23-0000,Legal Occupations,"5,230",0.96,36.05,"74,990"
55,Wisconsin,23-0000,Legal Occupations,"14,160",0.64,46.1,"95,890"
56,Wyoming,23-0000,Legal Occupations,"1,630",0.78,36.29,"75,490"
1,Alabama,25-0000,"Education, Training, and Library Occupations","1,03,640",0.88,23.41,"48,690"
2,Alaska,25-0000,"Education, Training, and Library Occupations","21,810",1.14,29.79,"61,960"
4,Arizona,25-0000,"Education, Training, and Library Occupations","1,41,430",0.84,22.96,"47,770"
5,Arkansas,25-0000,"Education, Training, and Library Occupations","74,380",1.01,22.31,"46,410"
6,California,25-0000,"Education, Training, and Library Occupations","10,28,190",1,31.76,"66,050"
8,Colorado,25-0000,"Education, Training, and Library Occupations","1,43,090",0.9,26.4,"54,910"
9,Connecticut,25-0000,"Education, Training, and Library Occupations","1,20,700",1.2,31.71,"65,970"
10,Delaware,25-0000,"Education, Training, and Library Occupations","25,280",0.93,26.7,"55,540"
11,District of Columbia,25-0000,"Education, Training, and Library Occupations","34,050",0.79,38.86,"80,820"
12,Florida,25-0000,"Education, Training, and Library Occupations","4,31,690",0.83,23.45,"48,770"
13,Georgia,25-0000,"Education, Training, and Library Occupations","2,70,530",1.01,24.58,"51,130"
15,Hawaii,25-0000,"Education, Training, and Library Occupations","43,370",1.11,25.74,"53,550"
16,Idaho,25-0000,"Education, Training, and Library Occupations","43,070",1.01,20.87,"43,410"
17,Illinois,25-0000,"Education, Training, and Library Occupations","3,75,430",1.03,26.72,"55,570"
18,Indiana,25-0000,"Education, Training, and Library Occupations","1,64,670",0.89,23.45,"48,770"
19,Iowa,25-0000,"Education, Training, and Library Occupations","1,06,430",1.14,25.17,"52,360"
20,Kansas,25-0000,"Education, Training, and Library Occupations","92,590",1.11,22.02,"45,800"
21,Kentucky,25-0000,"Education, Training, and Library Occupations","98,450",0.86,24.12,"50,170"
22,Louisiana,25-0000,"Education, Training, and Library Occupations","1,18,790",1.02,21.53,"44,780"
23,Maine,25-0000,"Education, Training, and Library Occupations","41,760",1.14,23.35,"48,560"
24,Maryland,25-0000,"Education, Training, and Library Occupations","1,76,170",1.08,31.36,"65,230"
25,Massachusetts,25-0000,"Education, Training, and Library Occupations","2,44,590",1.13,33.35,"69,360"
26,Michigan,25-0000,"Education, Training, and Library Occupations","2,29,340",0.88,26.79,"55,730"
27,Minnesota,25-0000,"Education, Training, and Library Occupations","1,66,300",0.96,27.12,"56,410"
28,Mississippi,25-0000,"Education, Training, and Library Occupations","74,730",1.1,21.24,"44,170"
29,Missouri,25-0000,"Education, Training, and Library Occupations","1,49,990",0.88,24.92,"51,840"
30,Montana,25-0000,"Education, Training, and Library Occupations","29,290",1.04,20.73,"43,120"
31,Nebraska,25-0000,"Education, Training, and Library Occupations","58,960",0.99,24.8,"51,590"
32,Nevada,25-0000,"Education, Training, and Library Occupations","55,170",0.68,24.19,"50,320"
33,New Hampshire,25-0000,"Education, Training, and Library Occupations","43,110",1.09,25.33,"52,690"
34,New Jersey,25-0000,"Education, Training, and Library Occupations","2,92,700",1.19,29.02,"60,360"
35,New Mexico,25-0000,"Education, Training, and Library Occupations","51,880",1.05,23.88,"49,670"
36,New York,25-0000,"Education, Training, and Library Occupations","6,90,330",1.21,33.78,"70,260"
37,North Carolina,25-0000,"Education, Training, and Library Occupations","2,77,400",1.04,23.6,"49,080"
38,North Dakota,25-0000,"Education, Training, and Library Occupations","22,870",0.91,25.1,"52,200"
39,Ohio,25-0000,"Education, Training, and Library Occupations","3,28,420",1,27.95,"58,130"
40,Oklahoma,25-0000,"Education, Training, and Library Occupations","93,310",0.96,19.26,"40,050"
41,Oregon,25-0000,"Education, Training, and Library Occupations","1,07,350",0.94,29.44,"61,240"
42,Pennsylvania,25-0000,"Education, Training, and Library Occupations","3,37,680",0.95,28.78,"59,870"
44,Rhode Island,25-0000,"Education, Training, and Library Occupations","33,260",1.14,31.62,"65,770"
45,South Carolina,25-0000,"Education, Training, and Library Occupations","1,14,270",0.91,23.1,"48,050"
46,South Dakota,25-0000,"Education, Training, and Library Occupations","24,710",0.96,20.32,"42,270"
47,Tennessee,25-0000,"Education, Training, and Library Occupations","1,55,930",0.87,24.02,"49,960"
48,Texas,25-0000,"Education, Training, and Library Occupations","7,64,380",1.04,24.93,"51,850"
49,Utah,25-0000,"Education, Training, and Library Occupations","89,670",1.02,25.42,"52,870"
50,Vermont,25-0000,"Education, Training, and Library Occupations","25,940",1.4,26.63,"55,400"
51,Virginia,25-0000,"Education, Training, and Library Occupations","2,45,270",1.05,27.44,"57,080"
53,Washington,25-0000,"Education, Training, and Library Occupations","1,88,000",0.95,27.19,"56,560"
54,West Virginia,25-0000,"Education, Training, and Library Occupations","44,840",1.06,20.89,"43,460"
55,Wisconsin,25-0000,"Education, Training, and Library Occupations","1,65,060",0.96,24.49,"50,950"
56,Wyoming,25-0000,"Education, Training, and Library Occupations","19,500",1.19,23.75,"49,400"
1,Alabama,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","17,700",0.68,22.22,"46,220"
2,Alaska,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","3,430",0.81,26.59,"55,300"
4,Arizona,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","31,360",0.83,26.16,"54,410"
5,Arkansas,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","9,370",0.57,22.42,"46,640"
6,California,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","3,07,070",1.34,34.97,"72,750"
8,Colorado,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","40,640",1.15,26.55,"55,230"
9,Connecticut,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","21,880",0.98,30.47,"63,380"
10,Delaware,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","4,220",0.7,23.8,"49,500"
11,District of Columbia,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","37,470",3.9,45.73,"95,130"
12,Florida,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","1,05,100",0.91,24.83,"51,650"
13,Georgia,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","61,040",1.03,26.37,"54,850"
15,Hawaii,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","9,100",1.05,26.86,"55,860"
16,Idaho,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","8,120",0.85,20.6,"42,850"
17,Illinois,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","74,740",0.93,25.83,"53,730"
18,Indiana,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","30,630",0.75,22.72,"47,260"
19,Iowa,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","19,140",0.92,19.73,"41,030"
20,Kansas,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","16,980",0.92,21.54,"44,810"
21,Kentucky,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","17,130",0.67,21.51,"44,750"
22,Louisiana,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","16,850",0.65,23.41,"48,690"
23,Maine,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","7,700",0.94,21.62,"44,970"
24,Maryland,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","32,110",0.89,28.17,"58,590"
25,Massachusetts,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","51,750",1.07,30.97,"64,420"
26,Michigan,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","53,470",0.92,25.27,"52,560"
27,Minnesota,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","39,670",1.03,26.34,"54,790"
28,Mississippi,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","8,140",0.54,22.35,"46,480"
29,Missouri,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","35,960",0.95,24.28,"50,500"
30,Montana,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","6,120",0.98,18.17,"37,800"
31,Nebraska,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","11,100",0.84,21.89,"45,520"
32,Nevada,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","19,150",1.05,25.88,"53,840"
33,New Hampshire,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","6,920",0.79,24.2,"50,340"
34,New Jersey,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","47,900",0.88,29.39,"61,130"
35,New Mexico,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","8,490",0.78,25.54,"53,120"
36,New York,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","2,07,900",1.64,38.4,"79,870"
37,North Carolina,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","42,100",0.71,26.5,"55,120"
38,North Dakota,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","5,190",0.92,20.62,"42,880"
39,Ohio,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","62,350",0.85,23.62,"49,130"
40,Oklahoma,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","15,080",0.7,20.46,"42,560"
41,Oregon,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","30,730",1.21,27.11,"56,390"
42,Pennsylvania,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","60,770",0.77,24.56,"51,080"
44,Rhode Island,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","7,030",1.08,28.3,"58,870"
45,South Carolina,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","18,760",0.67,23.34,"48,550"
46,South Dakota,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","5,430",0.95,18.35,"38,170"
47,Tennessee,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","31,960",0.8,25.56,"53,170"
48,Texas,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","1,37,980",0.84,25.73,"53,520"
49,Utah,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","23,000",1.17,23.9,"49,710"
50,Vermont,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","5,970",1.45,22.77,"47,360"
51,Virginia,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","48,600",0.94,28.82,"59,950"
53,Washington,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","48,520",1.1,28.15,"58,560"
54,West Virginia,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","4,680",0.5,21.43,"44,570"
55,Wisconsin,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","31,970",0.83,22.22,"46,230"
56,Wyoming,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations","2,730",0.75,20.65,"42,940"
1,Alabama,29-0000,Healthcare Practitioners and Technical Occupations,"1,31,000",1.13,32.26,"67,090"
2,Alaska,29-0000,Healthcare Practitioners and Technical Occupations,"17,750",0.94,48.27,"1,00,400"
4,Arizona,29-0000,Healthcare Practitioners and Technical Occupations,"1,61,490",0.97,40.4,"84,030"
5,Arkansas,29-0000,Healthcare Practitioners and Technical Occupations,"80,890",1.12,32.25,"67,080"
6,California,29-0000,Healthcare Practitioners and Technical Occupations,"8,38,440",0.83,47.55,"98,910"
8,Colorado,29-0000,Healthcare Practitioners and Technical Occupations,"1,46,200",0.93,40.35,"83,930"
9,Connecticut,29-0000,Healthcare Practitioners and Technical Occupations,"1,02,710",1.04,45.66,"94,980"
10,Delaware,29-0000,Healthcare Practitioners and Technical Occupations,"31,680",1.18,42.08,"87,520"
11,District of Columbia,29-0000,Healthcare Practitioners and Technical Occupations,"32,710",0.77,46.99,"97,740"
12,Florida,29-0000,Healthcare Practitioners and Technical Occupations,"5,32,310",1.04,36.38,"75,680"
13,Georgia,29-0000,Healthcare Practitioners and Technical Occupations,"2,47,850",0.94,36.39,"75,690"
15,Hawaii,29-0000,Healthcare Practitioners and Technical Occupations,"31,660",0.83,47.05,"97,870"
16,Idaho,29-0000,Healthcare Practitioners and Technical Occupations,"40,080",0.95,37.27,"77,510"
17,Illinois,29-0000,Healthcare Practitioners and Technical Occupations,"3,54,250",0.99,38.3,"79,660"
18,Indiana,29-0000,Healthcare Practitioners and Technical Occupations,"1,95,120",1.07,36.54,"76,000"
19,Iowa,29-0000,Healthcare Practitioners and Technical Occupations,"87,560",0.95,35.31,"73,450"
20,Kansas,29-0000,Healthcare Practitioners and Technical Occupations,"81,700",0.99,33.45,"69,570"
21,Kentucky,29-0000,Healthcare Practitioners and Technical Occupations,"1,24,270",1.1,33.83,"70,370"
22,Louisiana,29-0000,Healthcare Practitioners and Technical Occupations,"1,31,860",1.15,31.57,"65,660"
23,Maine,29-0000,Healthcare Practitioners and Technical Occupations,"41,280",1.14,40.35,"83,920"
24,Maryland,29-0000,Healthcare Practitioners and Technical Occupations,"1,73,210",1.08,42.55,"88,500"
25,Massachusetts,29-0000,Healthcare Practitioners and Technical Occupations,"2,42,690",1.14,46.92,"97,600"
26,Michigan,29-0000,Healthcare Practitioners and Technical Occupations,"2,83,410",1.1,38.29,"79,650"
27,Minnesota,29-0000,Healthcare Practitioners and Technical Occupations,"1,90,720",1.11,42.96,"89,360"
28,Mississippi,29-0000,Healthcare Practitioners and Technical Occupations,"79,780",1.19,30.86,"64,190"
29,Missouri,29-0000,Healthcare Practitioners and Technical Occupations,"1,91,550",1.14,34.67,"72,120"
30,Montana,29-0000,Healthcare Practitioners and Technical Occupations,"30,360",1.1,37.63,"78,270"
31,Nebraska,29-0000,Healthcare Practitioners and Technical Occupations,"62,770",1.07,35.96,"74,800"
32,Nevada,29-0000,Healthcare Practitioners and Technical Occupations,"62,820",0.78,43.18,"89,820"
33,New Hampshire,29-0000,Healthcare Practitioners and Technical Occupations,"39,380",1.01,43.63,"90,760"
34,New Jersey,29-0000,Healthcare Practitioners and Technical Occupations,"2,36,330",0.98,45.08,"93,760"
35,New Mexico,29-0000,Healthcare Practitioners and Technical Occupations,"46,930",0.97,37.74,"78,500"
36,New York,29-0000,Healthcare Practitioners and Technical Occupations,"5,45,670",0.97,43.53,"90,540"
37,North Carolina,29-0000,Healthcare Practitioners and Technical Occupations,"2,78,880",1.07,36.61,"76,140"
38,North Dakota,29-0000,Healthcare Practitioners and Technical Occupations,"25,810",1.04,35.72,"74,290"
39,Ohio,29-0000,Healthcare Practitioners and Technical Occupations,"3,62,550",1.12,37.33,"77,650"
40,Oklahoma,29-0000,Healthcare Practitioners and Technical Occupations,"97,030",1.02,33.33,"69,320"
41,Oregon,29-0000,Healthcare Practitioners and Technical Occupations,"1,02,780",0.91,45.64,"94,940"
42,Pennsylvania,29-0000,Healthcare Practitioners and Technical Occupations,"4,08,340",1.17,36.47,"75,860"
44,Rhode Island,29-0000,Healthcare Practitioners and Technical Occupations,"33,110",1.15,43.37,"90,220"
45,South Carolina,29-0000,Healthcare Practitioners and Technical Occupations,"1,25,690",1.02,35.12,"73,040"
46,South Dakota,29-0000,Healthcare Practitioners and Technical Occupations,"31,250",1.24,34.32,"71,380"
47,Tennessee,29-0000,Healthcare Practitioners and Technical Occupations,"1,95,400",1.11,33.71,"70,110"
48,Texas,29-0000,Healthcare Practitioners and Technical Occupations,"6,79,150",0.94,37.54,"78,070"
49,Utah,29-0000,Healthcare Practitioners and Technical Occupations,"69,840",0.8,36.93,"76,810"
50,Vermont,29-0000,Healthcare Practitioners and Technical Occupations,"19,180",1.05,39.89,"82,970"
51,Virginia,29-0000,Healthcare Practitioners and Technical Occupations,"2,10,960",0.92,39.35,"81,840"
53,Washington,29-0000,Healthcare Practitioners and Technical Occupations,"1,65,250",0.85,44.16,"91,840"
54,West Virginia,29-0000,Healthcare Practitioners and Technical Occupations,"59,000",1.42,32.91,"68,460"
55,Wisconsin,29-0000,Healthcare Practitioners and Technical Occupations,"1,71,400",1.01,38.25,"79,560"
56,Wyoming,29-0000,Healthcare Practitioners and Technical Occupations,"14,690",0.91,38.67,"80,430"
1,Alabama,31-0000,Healthcare Support Occupations,"53,630",0.97,13.19,"27,440"
2,Alaska,31-0000,Healthcare Support Occupations,"7,900",0.88,21.73,"45,190"
4,Arizona,31-0000,Healthcare Support Occupations,"73,620",0.93,15.8,"32,860"
5,Arkansas,31-0000,Healthcare Support Occupations,"35,760",1.04,13.45,"27,970"
6,California,31-0000,Healthcare Support Occupations,"3,64,220",0.75,18.46,"38,390"
8,Colorado,31-0000,Healthcare Support Occupations,"65,740",0.88,17.07,"35,510"
9,Connecticut,31-0000,Healthcare Support Occupations,"50,980",1.08,17.3,"35,980"
10,Delaware,31-0000,Healthcare Support Occupations,"12,390",0.97,16.26,"33,820"
11,District of Columbia,31-0000,Healthcare Support Occupations,"14,180",0.7,16.38,"34,070"
12,Florida,31-0000,Healthcare Support Occupations,"2,52,750",1.03,15.12,"31,440"
13,Georgia,31-0000,Healthcare Support Occupations,"1,03,640",0.83,14.38,"29,910"
15,Hawaii,31-0000,Healthcare Support Occupations,"19,630",1.08,17.66,"36,730"
16,Idaho,31-0000,Healthcare Support Occupations,"19,600",0.98,14.69,"30,560"
17,Illinois,31-0000,Healthcare Support Occupations,"1,65,730",0.97,15.51,"32,250"
18,Indiana,31-0000,Healthcare Support Occupations,"81,820",0.94,14.92,"31,040"
19,Iowa,31-0000,Healthcare Support Occupations,"40,040",0.91,15.48,"32,210"
20,Kansas,31-0000,Healthcare Support Occupations,"40,090",1.02,14.14,"29,420"
21,Kentucky,31-0000,Healthcare Support Occupations,"52,600",0.98,14.6,"30,360"
22,Louisiana,31-0000,Healthcare Support Occupations,"56,780",1.04,12.78,"26,580"
23,Maine,31-0000,Healthcare Support Occupations,"21,010",1.22,15.43,"32,100"
24,Maryland,31-0000,Healthcare Support Occupations,"74,760",0.98,16.46,"34,240"
25,Massachusetts,31-0000,Healthcare Support Occupations,"1,06,220",1.05,17.82,"37,070"
26,Michigan,31-0000,Healthcare Support Occupations,"1,36,180",1.11,15,"31,200"
27,Minnesota,31-0000,Healthcare Support Occupations,"83,380",1.02,17.23,"35,840"
28,Mississippi,31-0000,Healthcare Support Occupations,"31,110",0.97,12.37,"25,720"
29,Missouri,31-0000,Healthcare Support Occupations,"83,920",1.05,14.08,"29,280"
30,Montana,31-0000,Healthcare Support Occupations,"12,900",0.98,14.77,"30,720"
31,Nebraska,31-0000,Healthcare Support Occupations,"28,160",1.01,14.8,"30,790"
32,Nevada,31-0000,Healthcare Support Occupations,"26,250",0.69,17.16,"35,700"
33,New Hampshire,31-0000,Healthcare Support Occupations,"16,020",0.86,17.3,"35,980"
34,New Jersey,31-0000,Healthcare Support Occupations,"1,58,300",1.37,15.36,"31,940"
35,New Mexico,31-0000,Healthcare Support Occupations,"25,130",1.09,14.31,"29,760"
36,New York,31-0000,Healthcare Support Occupations,"3,76,080",1.41,15.53,"32,310"
37,North Carolina,31-0000,Healthcare Support Occupations,"1,47,300",1.18,13.8,"28,710"
38,North Dakota,31-0000,Healthcare Support Occupations,"11,140",0.94,17.03,"35,430"
39,Ohio,31-0000,Healthcare Support Occupations,"1,88,930",1.23,14.27,"29,680"
40,Oklahoma,31-0000,Healthcare Support Occupations,"46,410",1.02,14.04,"29,190"
41,Oregon,31-0000,Healthcare Support Occupations,"52,740",0.98,17.91,"37,250"
42,Pennsylvania,31-0000,Healthcare Support Occupations,"1,86,460",1.12,15.34,"31,910"
44,Rhode Island,31-0000,Healthcare Support Occupations,"18,100",1.32,16.65,"34,630"
45,South Carolina,31-0000,Healthcare Support Occupations,"54,750",0.93,13.98,"29,070"
46,South Dakota,31-0000,Healthcare Support Occupations,"11,030",0.92,14.23,"29,590"
47,Tennessee,31-0000,Healthcare Support Occupations,"73,460",0.87,14.79,"30,770"
48,Texas,31-0000,Healthcare Support Occupations,"3,13,840",0.91,14.7,"30,590"
49,Utah,31-0000,Healthcare Support Occupations,"34,040",0.82,14.99,"31,180"
50,Vermont,31-0000,Healthcare Support Occupations,"6,580",0.76,16.66,"34,660"
51,Virginia,31-0000,Healthcare Support Occupations,"95,490",0.88,15.71,"32,680"
53,Washington,31-0000,Healthcare Support Occupations,"87,340",0.94,18.22,"37,900"
54,West Virginia,31-0000,Healthcare Support Occupations,"21,540",1.09,13.55,"28,190"
55,Wisconsin,31-0000,Healthcare Support Occupations,"71,290",0.88,15.75,"32,760"
56,Wyoming,31-0000,Healthcare Support Occupations,"6,510",0.85,15.83,"32,940"
1,Alabama,33-0000,Protective Service Occupations,"44,520",0.96,18.49,"38,450"
2,Alaska,33-0000,Protective Service Occupations,"7,900",1.06,29.63,"61,630"
4,Arizona,33-0000,Protective Service Occupations,"77,880",1.18,22.79,"47,390"
5,Arkansas,33-0000,Protective Service Occupations,"27,470",0.96,18.07,"37,590"
6,California,33-0000,Protective Service Occupations,"3,86,370",0.96,29.4,"61,150"
8,Colorado,33-0000,Protective Service Occupations,"59,080",0.95,24.04,"50,010"
9,Connecticut,33-0000,Protective Service Occupations,"35,380",0.9,26.67,"55,470"
10,Delaware,33-0000,Protective Service Occupations,"9,780",0.92,21.58,"44,890"
11,District of Columbia,33-0000,Protective Service Occupations,"27,440",1.62,31.28,"65,060"
12,Florida,33-0000,Protective Service Occupations,"2,35,400",1.15,20.82,"43,310"
13,Georgia,33-0000,Protective Service Occupations,"1,06,440",1.02,18.99,"39,510"
15,Hawaii,33-0000,Protective Service Occupations,"20,380",1.34,23.96,"49,850"
16,Idaho,33-0000,Protective Service Occupations,"13,330",0.79,21.02,"43,720"
17,Illinois,33-0000,Protective Service Occupations,"1,51,070",1.06,25.84,"53,750"
18,Indiana,33-0000,Protective Service Occupations,"59,710",0.82,19.99,"41,570"
19,Iowa,33-0000,Protective Service Occupations,"22,830",0.62,21.4,"44,520"
20,Kansas,33-0000,Protective Service Occupations,"28,870",0.88,19.59,"40,750"
21,Kentucky,33-0000,Protective Service Occupations,"38,420",0.86,17.44,"36,270"
22,Louisiana,33-0000,Protective Service Occupations,"57,310",1.26,17.88,"37,190"
23,Maine,33-0000,Protective Service Occupations,"11,950",0.83,19.92,"41,440"
24,Maryland,33-0000,Protective Service Occupations,"73,200",1.15,24.76,"51,500"
25,Massachusetts,33-0000,Protective Service Occupations,"77,220",0.91,27.39,"56,970"
26,Michigan,33-0000,Protective Service Occupations,"77,370",0.75,20.9,"43,480"
27,Minnesota,33-0000,Protective Service Occupations,"44,390",0.65,24.22,"50,380"
28,Mississippi,33-0000,Protective Service Occupations,"32,290",1.21,15.9,"33,080"
29,Missouri,33-0000,Protective Service Occupations,"59,880",0.9,20.91,"43,480"
30,Montana,33-0000,Protective Service Occupations,"7,900",0.72,22.08,"45,930"
31,Nebraska,33-0000,Protective Service Occupations,"16,260",0.7,21.5,"44,710"
32,Nevada,33-0000,Protective Service Occupations,"42,650",1.33,21.42,"44,550"
33,New Hampshire,33-0000,Protective Service Occupations,"11,710",0.76,24.3,"50,550"
34,New Jersey,33-0000,Protective Service Occupations,"1,09,980",1.14,27.68,"57,570"
35,New Mexico,33-0000,Protective Service Occupations,"25,660",1.33,20.28,"42,190"
36,New York,33-0000,Protective Service Occupations,"3,13,240",1.41,26.38,"54,870"
37,North Carolina,33-0000,Protective Service Occupations,"1,00,080",0.96,19.17,"39,870"
38,North Dakota,33-0000,Protective Service Occupations,"6,760",0.68,22.92,"47,680"
39,Ohio,33-0000,Protective Service Occupations,"1,19,660",0.93,21.45,"44,620"
40,Oklahoma,33-0000,Protective Service Occupations,"36,310",0.96,19.89,"41,360"
41,Oregon,33-0000,Protective Service Occupations,"32,850",0.73,25,"52,000"
42,Pennsylvania,33-0000,Protective Service Occupations,"1,29,090",0.93,22.05,"45,870"
44,Rhode Island,33-0000,Protective Service Occupations,"12,490",1.09,24.04,"50,000"
45,South Carolina,33-0000,Protective Service Occupations,"47,820",0.98,18.59,"38,670"
46,South Dakota,33-0000,Protective Service Occupations,"6,630",0.66,20.11,"41,820"
47,Tennessee,33-0000,Protective Service Occupations,"70,840",1.01,18.87,"39,240"
48,Texas,33-0000,Protective Service Occupations,"2,91,740",1.01,22.04,"45,840"
49,Utah,33-0000,Protective Service Occupations,"22,540",0.65,20.37,"42,370"
